ID,Source URL,Title,Topic,Content
3,https://www.gardensillustrated.com/features/tools-experts-must-have,The garden tools the experts use - Gardens Illustrated,Boards,"Boards  We are on heavy clay at Great Dixter , and even though the ground has been gardened for more than 100 years, border work can turn into a slimy mess at the turn of a cloud. Crushed horticultural grit comes to the rescue, making the soil easier to handle, as does dollops of compost , which increases the friability of the soil allowing it to take more abuse from feet, knees and tools in wet weather. But total protection comes from boards. These spread your weight and allow access into the borders without putting too much pressure on the ground. They also cover up areas that have been opened up prior to planting, deflecting the rain, and allowing you immediate access to the soil without waiting for the ground to dry. We have wide ones, thin ones, long ones and short ones, all raided (with permission) from skips and left over from building works. Some hang around for years and become recognisable by their ragged edges and become favourites. I can’t imagine gardening without them.  Becky Crowley's String line, Tom Coward's Weeding trowel, Roy Lancaster's Japanese rice cutter - @ Andrew Montgomery  Roy Lancaster "
4,https://www.gardensillustrated.com/features/tools-experts-must-have,The garden tools the experts use - Gardens Illustrated,Japanese rice cutter,"Japanese rice cutter  My favourite tool is a Japanese rice cutter, a hand held tool comprising a light wooden handle and a curved steel blade, the inner edge of which is sharply serrated. I first saw it in use many years ago on my first visit to Japan, being used to cut rice crops in the paddy fields and I was fascinated by the ease with which the blade sliced the rice stems. One of my Japanese companions persuaded a harvester to part with his blade, which I managed to bring home in my hold baggage. I’ve since seen them for sale in agricultural suppliers, garden centres even. I found an immediate use for it in my garden when removing dead or unwanted top growth of perennials , especially those with leathery, prickly or otherwise obstinate growth, such as the dead leaves of dieramas. As with all such cuttings tools I wipe the blade clean after use and apply a thin coat of oil to protect it against rust .  Don't miss our round up of the best garden knives  Tom Coward "
5,https://www.gardensillustrated.com/features/tools-experts-must-have,The garden tools the experts use - Gardens Illustrated,Weeding trowel,"Weeding trowel  This is a tool that I learned about while guest gardening at Chanticleer, in Pennsylvania, USA about ten years ago. The thing that impressed me the most was its versatility; it can be used as a trowel for normal weeding but it’s also very strong and so is perfect for more robust weeds, such as ash seedlings and brambles. Because it is quite narrow, it is also useful for planting plug plants and weeding in paving cracks or between rocks; and the serrated edge makes it useful for sawing through roots when dividing perennials. After using the tool for a month at Chanticleer, my host must have seen what fun I was having with it and so kindly gave it to me as souvenir. At Gravetye Manor in Sussex with an extensive kitchen garden, herbaceous borders, meadow and orchard area to look after, I have probably used it almost every day.  Becky Crowley "
6,https://www.gardensillustrated.com/features/tools-experts-must-have,The garden tools the experts use - Gardens Illustrated,String line,"The cutting garden at Chatsworth House in Derbyshire comprises one third of the three-acre kitchen garden . The string-line is a vital tool to ensuring that I plant my flowers in rows in a similar style to the vegetables being grown in the rest of the kitchen garden. I usually plant into 1-1.2m wide beds, so a post will go into the ground at each end of a bed pulling the string taught and giving me a straight line to plant along. I then move the line along until the bed has been filled with three or four rows, depending on the ultimate size of the plants. This particular string-line was made by my colleagues years ago out of two metal stakes that originally formed part of the Chatsworth garden sign posts. The baler twine usually lasts a good few years before needing to be replaced – something that needs to be done this year before the next planting frenzy begins.  Don't miss our round up of all the best garden tools and more"
1,https://www.gardentoolcompany.com/pages/best-oil-for-garden-tools,Garden Tool Articles – Garden Tool Company,Best Oil for Garden Tools,"     There is no more important thing you can do to help you garden tools last and is also one of the simplest...oil your garden tools. With this simple step, you can prevent rust on the metal portion of the tool and when applied to any wood element, you’ll prevent drying and cracking.  While I will never be called a garden tool maintenance freak, the simple fact that I oil our tools makes up for my occasional neglect. Ultimately, if I had took the time to wash and dry my tools after every use, they would be better off. But, the reality is that after a long day of gardening all I want to do is shower and put my feet up…sound familiar?  Rust is caused by a chemical reaction that happens when iron (steel), water and oxygen come together...called oxidation. By coating the steel, you're blocking the oxygen and water and thus preventing rust.  For a lot of years motor oil has used as a rust preventative on garden tools and is still in practice today. You’ve probably read or been told to get a bucket of sand, pour some motor oil in it and poke your tools into it. Well, that will keep your tools from rusting, but what about the next time you stab that tool in your soil? You just transferred that oil from the bucket to the soil you’re trying to grow plants in.  So, which oil? Boiled Linseed Oil. Linseed oil is derived from the dried seeds of the flax plant and therefore a great eco alternative to any petroleum based oil. Gardeners have been using linseed oil for many, many years to protect their tools from the elements and at Garden Tool Co., we oil every tool that does not have a finish on it already, before it ships.  A cautionary note: The boiled linseed oil that is available today has a small amount of solvent added to it to keep it from hardening in the can, so after you apply it to your metal and wood, let it dry completely before using your tool, (about 24 hours) that way the solvent will have evaporated. Read and understand the direction on can. (Linseed oil is available in the paint dept. at Lowes, Home Depot and maybe your local hardware or paint store.)  Please click here see our Garden Tool Care and Maintenance article for step by step instructions. "
2,https://www.gardentoolcompany.com/pages/garden-tool-care-and-maintenance,Garden Tool Articles – Garden Tool Company,Garden Tool Care and Maintenance,"    Take care of your garden tools and they will take care of you! Well, that’s easy to say but if you’re like me, the last thing I want to do after a day of gardening is clean and oil my garden tools...my mind is clearly set on showering and putting my feet up with something cold to drink.  Seriously, your garden tools will last a lot longer (especially wood handles) if you show them a little love every once in a while, so take a little time to clean, sand, sharpen and oil your garden tools.    Clean - Round up all your tools, a bucket of warm water and a wire or stiff bristle brush. Start with the brush and knock off the majority of the dirt on your tools. Once you have the dirt removed, scrub the remaining of with the warm water. Then rinse and let them air dry or wipe them with a towel.  Sand - Once your garden tools are dry, it’s a good time to sand any wood handles. Moisture, whether it’s from water in the soil, dew or rain will raise the grain of the wood, making it feel rough. Gardeners that live in high humidity regions will also see/feel this “grain raising” more often. Just about any sandpaper will work for this, but I suggest starting out with an 80 grit paper and finishing off with a 120-150 grit for a nice smooth handle surface.  Also, now is a good time to take care of any rust on your tools. A wire brush is a good option for knocking off the majority of rust, especially in those tight spaces, but you’ll find that the 80 grit sandpaper will do a better job. If you have a small electric sander, this process will go a lot faster.  Sharpen - Now’s a good time to have a look and sharpen any tools that need it. You can sharpen your tools with range of tools, but most gardeners find that a flat file (available here or at your local hardware store) will handle all their sharpening needs.  Before you start, a word about safety. Please wear eye protection. The smallest sliver of metal in the eye can be very painful. Also, wear some heavy gloves to prevent those same slivers of metal from your hands and to prevent cuts from your newly sharpened tools.  Garden tool sharpening can be a dangerous operation if you don’t have the tool secured properly, so secure it in a vise if you have one, clamp it to a table or just get someone to sit on it. Just make sure it’s secure before you start sharpening. Every tool blade typically has some sort of edge bevel on it, so try to file it at the same angle that is already there. Too much (steep) angle will indeed make your tool very sharp, but because the leading edge is so thin, it will be subject to damage by the smallest of stones, so try to stick with the angle that is there.  Oil - Let’s start by saying, do not use any petroleum based oil on your garden tools...you’ll just end up transferring that oil on your tools to the soil in your garden. Here at Garden Tool Co., we only use Boiled Linseed Oil. It’s a natural product from the seeds of the flax plant (except for the solvent used to keep it from hardening in the can…it evaporates after application) and can be used on the metal and wood parts of your tools. Just apply it liberally all over you tool, let it sit for about 15 minutes and then wipe off excess. Gardeners that live in drier climates should oil their handles more often to prevent your handles from drying out and cracking.  Rust on any of your tools is the result of oxygen and water reacting with the metal, so the purpose of the oil is to create a barrier between the metal and oxygen/water.  That’s it, protect your investment in garden tools and they will last a very long time. "
3,https://www.gardentoolcompany.com/pages/choosing-a-garden-fork,Garden Tool Articles – Garden Tool Company,Choosing a Garden Fork," Choosing a garden fork...easy right? I mean, all you have to look for is a garden fork that is well made by a reputable company and you’re done. Well...maybe not. What kind of work are you asking your garden fork to do?  While at first glance, many garden forks look the same, but take a little closer look and you’ll see the differences. So, what types of “garden forks” are there? Let’s see, there are, Digging, Spading, Garden (English), Border, Compost, Potato, Broadfork and many more specialty forks.  OK...now that we’re really confused with so many types, let’s take a look at what type of work each fork is made to do and hopefully this helps you land the perfect garden fork.  Digging Fork - The digging fork typically has strong thinner square tines and is great for turning undisturbed soil for a new garden or bed. They can also be used for many of the same chores as a garden fork.  Garden Fork - The most popular garden fork has four flat tines with a flat facing the front of the fork for lifting. With their flat-faced tines, these forks are good for digging in loamy, sandy or loose soil, aerating, mixing in nutrients, turning your soil in the spring and harvesting potatoes and other root vegetables.  Border Fork - The border fork is usually just a smaller head size version of the garden fork and is becoming very popular.  Compost Fork - The compost fork has long thin tines and is made for lifting light weight materials such as compost (not made for digging).  Broad Fork - This monster fork had two long handles attached to a wide fork with many tines. It is used to turn undisturbed soil for a new garden. If you’ve got a lot of soil to turn, this is the beast to do it.  Potato Fork - The potato fork has a wide head with tines spaced close together. The tines usually have blunt ends so as not to damage the potatoes during harvest.  As with all garden tools, what might be right for me may not work for you, so pick what works for your type of gardening. The forged tools may cost more initially, but the quality, strength, warranty and the fact that you’ll have a garden tool that you can pass down to the next generation far outweighs the cost. Plus, you’re not tossing a bent garden tool into the landfill every couple of years.  ***Fork Head Size - Most people (including me) automatically choose the largest fork size they can buy. We think that we can get more done with the larger size, but in reality we're only tiring ourselves too sooner...not to mention the back pain involved using a large tool. Many gardeners have found that by using the smaller border size makes for a lot less back pain, less tiresome and more enjoyable gardening. -Just something for you to think about. "
4,https://www.gardentoolcompany.com/pages/choosing-a-garden-spade,Garden Tool Articles – Garden Tool Company,Choosing a Garden Spade," We've come a long way since we were digging with our hands way back when to the gardening spade that we use today. Only the quality of the materials have changed since the Chinese had a bronze spade that closely resembled today's spade around 1100 B.C.  Gardening spades are workaholics and because of the nature of the work they do, it's counterproductive to not buy the best one you can afford. Buying look alike garden tools will just frustrate you and adds to our landfills.  With all that said, let's start with the head of the spade. The shape of the spade's leading edge can help you immensely depending on your soil type. A deeply dished blade (usually found on a shovel) will speed up the process of moving loose materials.  Slightly Rounded Leading Edge - This is the most common garden spade and works well in most soils.   Pointed Leading Edge - The point or points help greatly in rocky soils as the points deflect away from smaller rocks. The point also makes it easier to push into any type of soil.   Narrow Blade - The narrow blade spade are great for digging in confined spaces as well as digging ditches.   Slotted Blade - The slotted blade is made to have less friction going into the ground in sticky clay soils.    Let's talk handles. Ash hardwood handles have been the standard for hundreds of years, not only for their durability, but the ability to absorb shock and vibration. Fiberglass handles are stronger, but absorb less shock and are harder to fit into the socket should it break and need to be replaced. Steel handles are very durable, but heavy...some gardeners like the added weight for digging.  Spade handles come in a variety of shapes and lengths with ""T"" handles being the most popular. ""D"" and Bulb End handles are also quit popular, but what it comes down to is personal preference. Also, when choosing the length, remember that spade is a lot shorter when the blade is in the soil. Using a spade that is too short is likely to strain your back and make gardening less enjoyable.   ***Spade Head Size - Most people (including me) automatically choose the largest blade size they can buy. We think that we can get more done with the larger size, but in reality we're only tiring ourselves too sooner...not to mention the back pain involved using a large tool. Many gardeners are opting to use the smaller border size spade. It makes for a lot less back pain, less tiresome and more enjoyable gardening. -Just something for you to think about.   "
5,https://www.gardentoolcompany.com/pages/list-of-garden-tools-every-gardener-must-have-or-not,Garden Tool Articles – Garden Tool Company,List of Garden Tools Every Gardener Must Have...Or Not," While some would tell you that there is some magic list of garden tools that every gardener should have, the simple fact is, gardens and gardeners come in all shapes, sizes and needs.  We are short and tall, right and left handed, large vegetable garden, a small flower bed or our favorite plants on the balcony, but one thing we all have in common is, we want our garden tools to last and to work as hard as we do.  Like us, garden tools also come in all shapes, sizes and ways we can use them. A simple hand hoe that may be perfect for someone weeding a flower bed may also be the favorite tool for a vegetable gardener making furrows for seeds.  Below is not a list of garden tools you should have, but “suggestions” on garden tools that many gardeners might find useful for a particular type or size garden.  Large Vegetable Garden  For sizable gardens, most gardeners find that the longer handled tools not only save the back, but are able to work more area in less time. Buying good quality garden tools will save yourself a lot of broken and bent tool headaches. Look for tried and true materials such as thick carbon or stainless steel tool bodies and Ash tool handles from managed forests.  Garden/Digging Fork -Some would call this tool a gardener's favorite tool, but it is really your soil’s best friend. Great for turning the soil, aeration and mixing nutrients into the soil.  Garden/Digging Spade -Great for digging, turning the soil, soil aeration and its straight blade also makes it a good edging tool.  Garden Hoes -The never ending battle with weeds is best tackled with a hoe or cultivator (not chemicals). There are many, many head shapes available and most gardeners have a favorite, but a few of the favorites are: pull hoes, hoes like the diamond shaped hoe that works on the push and pull strokes, Dutch hoe, scuffle hoe, oscillating hoe (also called a hula hoe, action hoe and stirrup hoe), half-moon hoe and the heart shaped hoe. Many gardeners own several hoes for the different chores such as weeding between plantings, cleaning up between crop rows or even turning the hoe on edge to create seed furrows.  Garden Rake -If you’re making a new garden or adding on to an existing plot, the garden rake is great for leveling and clearing debris from your soil.  Garden Hand Tools -Now that you have the workhorse tools, you may find any number of smaller tools handy when you’re out in the garden. These tools will probably be specific to your type of gardening.  Pruners -Every gardeners go to pruning tool...buy a good pair and you’ll have a lifetime garden tool.  Hori Hori knife- this gardeners favorite is great for light digging, weeding, planting and so many more.  Wheelbarrow or Garden Cart  Remember, you’re unique and the way you garden is too, so choose tools that make your gardening more enjoyable.    Raised Bed Garden  This type of gardening is becoming very popular because of ease of maintenance and the ability to grow a lot in a smaller space. With most raised beds no wider than four feet, it’s easy to reach half way across the bed from both sides making shorter garden tools a good option.  Garden Spade and/or Fork -great tools for turning the soil, aerating, and mixing nutrients into the soil.  Long Handle Hoes - Even with the narrower beds, the longer weeding hoes with their variety of head shapes can be useful.  Medium Length Tools -Look for some medium length tools. There are forks, spades and other mid-length tools out there including good quality kids tools. If you have a favorite long tool that is too long, cut the handle to length that suits your needs.  Dutch Hand Hoe -At 18 inches long, this is a favorite among many gardeners. Available in right and left handed versions, is great for weeding and making furrows for seeds and can easily reach across the bed.  Trowels -With so many different types of trowels available, you may find that a good trowel will handle all your planting needs.  Hori Hori Knife -This is the “MacGyver” of garden tools. Great for digging, weeding, planting, cutting bags open and so many more things.  Pruning Shears or Pruning Knife -Good for harvesting time or cutting unwanted greenery.  As with all gardening, you’re different, and a tool that is popular with others might not work for you, so look around and find the right tool for your gardening chore.    Flower Beds and Lawn  If you are maintaining a yard with flower beds, (and maybe a veggie garden too) you’ll find that your garden tool list seems to be never ending. The good news is that you can use several of your tools not only in your flower beds, but in your veggie garden and yard as well. The garden fork works just as hard in your flower beds as it does in the garden. Your garden spade that you use to turn soil in the garden also works great for planting large shrubs and small trees as well a lawn edger. Those weeding tools you use in the garden will work just fine in your flower beds. Other tools you might find useful are:  Garden Rake -good for leveling and raking debris from your soil.  Leaf Rake -those leaves in the trees are going to fall and the leaf rake is a must for gathering them.  Rabbiting Spade -this spade has a narrow pointed blade that is great for transplanting shrubs, ditch digging or planting one gallon container plants.  Shovels and Specialty spades -You may find that you need sharp pointed shovel for general digging or maybe a border spade for those tight spaces.  Edger -More and more gardeners are choosing to lose more of their lawn and plant beds with native drought tolerant plants to save water and the edger is a great garden tool for defining those beds.  Loppers or Pruning Saw -Loppers are great for pruning smaller tree and bush limbs that are green and the pruning saw for dead branches.  Pruners -Probably the most used tool in the gardeners arsenal. Spend the money to buy a good pair and you’ll have a lifetime tool.  Wheelbarrow or Garden Cart  Water Hose -look around, ask your neighbors to find the best quality water hose you buy...you’ll save yourself a lot of grief.    Townhouse or Apartment Garden  Though you live in a place where you probably don’t have dedicated space to garden, you are just as much a gardener and need tools to tend your container garden. Those tools might include:  Trowel -Its small size make it great for planting in containers.  Soil Scoop -Great for transferring soil from bag to container.  Garden Knife (Hori Hori) -Great all around tool that is handy for opening bags, weeding.  Pruners -Your plants may or may not need some pruning, but if they do, buy a good pair...they’ll last a lifetime.  Watering Can -While any container will do, a watering can with its rosette distributes the water evenly and gentler, especially for those young seedlings.    There are hundreds of shapes and sizes of garden tools to be found, but most found today are but mere gimmicks or cheap copies on an original tried and true designs that old school garden tool companies have been hand making for hundreds of years.These garden tool artisans have been making tools to solve problems in the garden and you can bet that someone through the years has had your problem and made a tool to solve that problem.  If your garden tool list includes tools that are made to last a lifetime, you’ll enjoy them for a long, long time, pass them down to the next generation...and there will be less trash in the landfill. "
6,https://www.gardentoolcompany.com/pages/garden-trowels-they-re-all-the-same-right,Garden Tool Articles – Garden Tool Company,Garden Trowels – They’re All The Same…Right?," It wasn’t too long ago that if you went looking for a garden trowel, you could go to 10 different places and buy a trowel at each place and you’d end up 10 almost identical looking trowels. And that was fine; I mean, all we used them for was digging small holes, planting, potting and maybe some occasional weeding.  Well, times have changed and some of the better garden tool makers are making specialty garden trowels. Don’t get me wrong, the traditional garden trowel is and always will be around and there will always be a use for them, but some tool makers have taken a look that the different jobs that a gardener does and adapted the trowel’s shape to fit a particular garden chore.  Good trowel – bad trowel. A good quality trowel should last you a lifetime, but all too often these days the garden tools available today are cheap knockoffs. A good garden trowel should have some weight to it and made of a good quality steel. Another good measure of the tools worth is its warranty. Is the tool maker proud enough of their tools to guarantee it for life?  So, what kind of trowels are there? Here's a list of some of the trowels we offer.   Standard Trowel  Flower Bed Trowel  Transplanting Trowel  Japanese Trowel  Hori Hori Trowel  Rock Garden Trowel  Widger Trowel  Dandelion Trowel  Heart-Shaped Trowel  Planting Trowel  Soil Scoop Trowel  Hoe Trowel  Transplanting Trowel w/ Bottle Opener  Terrarium Trowel  Half-Round Trowel  Archeology Trowel   As you can see, trowels have changed from just the standard shape. We all garden a little differently and a trowel someone might use for planting, another might use it for weeding. We invite you to have a look at the trowels we offer and imagine how a certain shaped trowel might make your gardening more enjoyable.  Like buying other garden tools, it's up to you to decide which trowel will work the best for the way you garden, but if you have a question, please don't hesitate to call us at 1-855-482-8665. If you'd like a more detailed look at these tools, please visit our garden trowels page . "
7,https://www.gardentoolcompany.com/pages/quality-garden-tools-are-they-worth-it,Garden Tool Articles – Garden Tool Company,Quality Garden Tools...Are They Worth It?," OK, I'll start this out by saying that I realize that not everyone can afford the higher quality garden tools, nor do I think that people who ""garden"" one Saturday every spring necessarily need a better quality garden tool, but if you're an avid gardener and you rely on your tools to make your gardening more enjoyable and less tiresome, isn't it worth it to have tools that work as hard as you do....time after time?  So let's take a look at what you get in a higher quality, handmade garden tool that you don't get in bargain, off-the-shelf garden tool.    Quality - excellent, superior, strong, fine, high grade - all words that you probably would not use to describe the garden tools you normally find at the big box stores, but all these words describe the value of a quality garden tool.    Design - Most of the tools that we offer are made by companies that have been perfecting the design of the tools for over a hundred years. A little bend here, a little more strength there, all to make the tool more efficient and enjoyable to use...no one-size-fits-all tools.    Materials - At the heart of any garden tool is the metal that it is made of. While most garden tool makers are always looking for cheaper, thinner metals to make their tools, meaning more money in their pockets, better quality tool makers will only use the highest quality metals available and will not skimp for the sake of an extra few pennies per tool. These tool makers also choose only the straightest grained Ash hardwood for the tool handles    Company - The quality of the garden tool is only as good as the character of the company that makes them. Two of companies whose tools we carry are still family owned after a hundred years or more and realize the time and effort needed to make a quality garden tool.    Warranty - A lot of the tools we carry have a lifetime warranty because the companies that make these tools believe in the products they make and stand behind their quality. With a bargain tool, you'll probably be standing at the returns counter for quite a while arguing with a cashier whether the warranty is valid...if it has one at all.    Cheaper? - One might argue that these tools are less expensive in the long run if you break a couple of cheap tools, time and gas to go to the store again, waiting in the returns line, etc.... not to mention the frustration involved.     ""Price is what you pay. Value is what you get."" -Warren Buffett    What about where it is made? The Sneeboer tools we offer are handmade in Holland and you'd be hard pressed to find better quality...but at a price. We've all had our experiences with ""Made in China"", but I'm here to tell you that the Chinese can make quality products...it's the companies that specify the design and materials that make for cheap products. For example, we offer Burgon & Ball and Barebones tools. Both made in China and both are of good quality because the companies specify good quality materials that the tools are made of.  So, the best quality garden tools are available, but what's ""best"" for me may not be what's ""best"" for you. "
1,https://www.rasnetwork.org/gardening-tools/gardening-tools-names-with-pictures/,40 Gardening Tools List With Pictures and Their Uses - RASNetwork Gardening,1. Spade,"1. Spade   A spade is used for digging and breaking up earth. ezoic_video_placeholder-under_second_paragraph-640x360-999997-clearholder ezoic_video_placeholder-under_second_paragraph-640x360-999997-nonexxxclearxxxblock ezoic_video_placeholder-under_second_paragraph-426x240-999997-clearholder ezoic_video_placeholder-under_second_paragraph-426x240-999997-nonexxxclearxxxblock ezoic_video_placeholder-under_second_paragraph-384x216-999997-clearholder ezoic_video_placeholder-under_second_paragraph-384x216-999997-nonexxxclearxxxblock  How to Use: Keep a straight back and lift with your legs, ensuring a firm grip.  Example: When edging garden beds, maintain a steady pace and take breaks to prevent overexertion. Ezoic - wp_under_second_paragraph - under_second_paragraph End Ezoic - wp_under_second_paragraph - under_second_paragraph     See Also:  "
2,https://www.rasnetwork.org/gardening-tools/gardening-tools-names-with-pictures/,40 Gardening Tools List With Pictures and Their Uses - RASNetwork Gardening,2. Shovel,"2. Shovel   Shovels are used for scooping loose material. ezoic_video_placeholder-mid_content-640x360-999996-clearholder ezoic_video_placeholder-mid_content-640x360-999996-nonexxxclearxxxblock ezoic_video_placeholder-mid_content-426x240-999996-clearholder ezoic_video_placeholder-mid_content-426x240-999996-nonexxxclearxxxblock ezoic_video_placeholder-mid_content-384x216-999996-clearholder ezoic_video_placeholder-mid_content-384x216-999996-nonexxxclearxxxblock  How to Use: Keep your back straight and lift with your legs to prevent back strain. Ezoic - wp_mid_content - mid_content End Ezoic - wp_mid_content - mid_content  Example: When digging, pace yourself to prevent fatigue and ensure the area is clear of underground utilities.    "
